Rank,"Institution",State,2008 Endowment,2007 Endowment,Percent Change
574,"Mary Baldwin College",VA,40307,40450,-0.4
575,"Maryville University (MO)",MO,39947,42113,-5.1
576,"Saint John Fisher College",NY,39887,40902,-2.5
577,"Carroll College (WI)",WI,39843,43143,-7.6
578,"Ashland",OH,39734,44455,-10.6
579,"Bethune-Cookman College",FL,39608,42854,-7.6
580,"Elmira College",NY,39451,43685,-9.7
581,"Northwestern College",IA,39248,41683,-5.8
582,"Manchester College",IN,38987,42982,-9.3
583,"Radford University",VA,38760,38886,-0.3
584,"Georgia Southern",GA,38419,37046,3.7
585,"Texas Wesleyan",TX,38249,37055,3.2
586,"Maryville College (TN)",TN,38182,39249,-2.7
587,"Cleveland Institute of Music",OH,38064,40792,-6.7
588,"College of Saint Benedict",MN,37793,36436,3.7
589,"Georgian Court",NJ,37700,46583,-19.1
590,"U Mary Washington",VA,37491,38883,-3.6
591,"Eastern Virginia Medical School",VA,37053,34989,5.9
592,"College of Notre Dame of Maryland",MD,36732,39964,-8.1
593,"California State University Long Beach",CA,36616,36072,1.5
594,"Rockhurst",MO,36487,41281,-11.6
595,"Gannon",PA,35991,37568,-4.2
596,"Bellarmine",KY,35785,31310,14.3
597,"Sonoma State",CA,35602,37417,-4.9
598,"Morningside College",IA,35276,33985,3.8
599,"Florida Community College at Jacksonville",FL,35266,32923,7.1
600,"Western Carolina",NC,35189,32700,7.6
601,"California State University Chico",CA,34656,35741,-3.0
602,"Hampshire College",MA,34632,36985,-6.4
603,"Indiana Institute of Technology",IN,34098,36616,-6.9
604,"Ferris State",MI,33857,36237,-6.6
605,"Northern Michigan",MI,33836,35613,-5.0
606,"Pasco-Hernando Community College",FL,33765,34187,-1.2
607,"Milwaukee School of Engineering",WI,33738,35213,-4.2
608,"Asbury College",KY,33449,33667,-0.6
609,"New College",FL,33314,33550,-0.7
610,"California State Polytechnic University Pomona",CA,33201,33717,-1.5
611,"Towson",MD,33165,30091,10.2
612,"San Francisco Conservatory of Music",CA,32908,34177,-3.7
613,"U La Verne",CA,32098,32642,-1.7
614,"Heidelberg College",OH,32050,34789,-7.9
615,"Brenau",GA,32046,41416,-22.6
616,"School of American Research",NM,31960,33244,-3.9
617,"Augsburg College",MN,31831,30000,6.1
618,"Graduate Theological Union",CA,31727,30424,4.3
619,"Columbus State",GA,31614,31608,0.0
620,"Erikson Institute",IL,31265,33098,-5.5
621,"Western Illinois University",IL,30924,29876,3.5
622,"Madonna",MI,30288,33672,-10.0
623,"The Sage Colleges",NY,29526,31947,-7.6
624,"Andrews",MI,29496,31051,-5.0
625,"Golden Gate",CA,29435,31419,-6.3
626,"McPherson College",KS,29344,30433,-3.6
627,"Western Washington University",WA,29183,30275,-3.6
628,"King College",TN,28822,29599,-2.6
629,"Alverno College",WI,28773,30590,-5.9
630,"UW-Eau Claire",WI,28609,29747,-3.8
631,"SUNY Oneonta",NY,28483,29529,-3.5
632,"U New England",ME,28412,28476,-0.2
633,"Cazenovia College",NY,28325,30708,-7.8
634,"Marywood",PA,28288,30022,-5.8
635,"Anderson",IN,27907,25373,10.0
636,"Mercy College",NY,27904,30395,-8.2
637,"Rocky Mountain College",MT,27812,26616,4.5
638,"Barry",FL,27809,22974,21.0
639,"Loras College",IA,27787,29906,-7.1
640,"Troy State",AL,27135,27178,-0.2
641,"Kentucky Wesleyan College",KY,27105,29438,-7.9
642,"U Central Missouri",MO,27075,26662,1.5
643,"Aquinas College",MI,26978,27812,-3.0
644,"Lasell College",MA,26862,23523,14.2
645,"College of St. Scholastica",MN,26845,27776,-3.4
646,"U Albany",NY,26782,26728,0.2
647,"Wilmington College",OH,26581,28081,-5.3
648,"St. Mary's College of Maryland",MD,26334,29172,-9.7
649,"Samuel Merritt College",CA,26187,26915,-2.7
650,"Sinclair Community College",OH,26093,27690,-5.8
651,"The College of Saint Rose",NY,25961,27981,-7.2
652,"St. John's College (Santa Fe)",NM,25653,26154,-1.9
653,"Colby-Sawyer College",NH,25537,28179,-9.4
654,"Covenant College",GA,25470,27627,-7.8
655,"Philadelphia",PA,25236,26858,-6.0
656,"Endicott College",MA,25126,23370,7.5
657,"U the Arts",PA,25109,21491,16.8
658,"Dordt College",IA,24994,26196,-4.6
659,"Mercyhurst College",PA,24792,26880,-7.8
660,"Winston-Salem State",NC,24763,21759,13.8
661,"U North Carolina at Asheville",NC,24762,22720,9.0
662,"Marymount",VA,24686,26526,-6.9
663,"National-Louis",IL,24635,26132,-5.7
664,"Harrisburg Area Community College",PA,24449,30563,-20.0
665,"Wisconsin Lutheran College",WI,24368,24974,-2.4
666,"Averett",VA,24264,23791,2.0
667,"College of Mount St. Joseph",OH,24201,23985,0.9
668,"Southern Adventist",TN,23656,25586,-7.5
669,"Clarke College",IA,23639,18512,27.7
670,"Saint Francis",PA,23547,24902,-5.4
671,"Lorain County Community College",OH,23353,19502,19.7
672,"Fairleigh Dickinson",NJ,23324,23246,0.3
673,"Eastern Mennonite",VA,23278,25431,-8.5
674,"Cardinal Stritch",WI,23170,24562,-5.7
675,"College of Saint Elizabeth",NJ,22945,25062,-8.4
676,"Northampton Community College",PA,22672,22150,2.4
677,"Georgia Southwestern State",GA,22637,24606,-8.0
678,"Central Piedmont Community College",NC,22620,22159,2.1
679,"Northwestern Nazarene",ID,22547,22061,2.2
680,"Columbia College (SC)",SC,22372,24748,-9.6
681,"McKendree College",IL,22349,22397,-0.2
682,"Virginia State",VA,22296,20860,6.9
683,"Covenant Theological Seminary",MO,22257,24658,-9.7
684,"Southeastern Baptist Theological Seminary",NC,22250,19457,14.4
685,"Mount Mercy College",IA,21766,22608,-3.7
686,"Lees-McRae College",NC,21600,NA,NA
687,"California State University Sacramento",CA,21412,19155,11.8
688,"Thunderbird The Garvin School of International Management",AZ,21235,23334,-9.0
689,"Culver-Stockton College",MO,20906,20483,2.1
690,"Ohio Dominican",OH,20772,20992,-1.0
691,"Rhode Island College",RI,20572,19933,3.2
692,"George Fox",OR,20515,22355,-8.2
693,"Robert Morris",PA,20476,19843,3.2
694,"Cal State Fullerton Philanthropic",CA,20022,17592,13.8
695,"St. Thomas",FL,19996,23469,-14.8
696,"Concordia University St. Paul",MN,19400,20900,-7.2
697,"California Western School of Law",CA,19347,21102,-8.3
698,"Reconstructionist Rabbinical College",PA,19215,21122,-9.0
699,"Ringling College of Art and Design",FL,19128,17910,6.8
700,"Winona State",MN,18783,21194,-11.4
701,"Ottawa",KS,18639,20583,-9.4
702,"Delaware Valley College of Science and Agriculture",PA,18483,18590,-0.6
703,"Northland College",WI,18457,21305,-13.4
704,"Humboldt State University and Advancement",CA,18447,18797,-1.9
705,"Southern California College of Optometry",CA,18432,19438,-5.2
706,"St. Cloud State",MN,18285,18373,-0.5
707,"Cedar Crest College",PA,18139,19952,-9.1
708,"Saint Joseph College",CT,18109,20053,-9.7
709,"Olivet Nazarene",IL,18045,19016,-5.1
710,"Franklin Pierce Law Center",NH,17947,15022,19.5
711,"Utica College",NY,17854,19120,-6.6
712,"Bridgewater State College",MA,17541,17089,2.6
713,"SUNY Potsdam College",NY,17482,17141,2.0
714,"Pacific Union College",CA,17398,19317,-9.9
715,"Francis Marion",SC,17157,16360,4.9
716,"Misericordia",PA,17076,15782,8.2
717,"Faulkner",AL,17001,18532,-8.3
718,"Northern Wyoming Community College District",WY,16451,12959,26.9
719,"California State University Bakersfield",CA,16415,16460,-0.3
720,"California State University San Marcos",CA,16222,15158,7.0
721,"Thomas M. Cooley Law School",MI,16200,16504,-1.8
722,"Delta State",MS,15938,16401,-2.8
723,"Tri-County Technical College",SC,15720,15993,-1.7
724,"American University in Bulgaria",,15529,16263,-4.5
725,"Defiance College",OH,15428,16751,-7.9
726,"Roberts Wesleyan College",NY,15393,16262,-5.3
727,"U Guam",GU,15368,15960,-3.7
728,"Mount Aloysius College",PA,15358,16334,-6.0
729,"California State University Los Angeles",CA,15091,16553,-8.8
730,"Southern Oregon University",OR,14605,16833,-13.2
731,"Macomb Community College",MI,14532,14109,3.0
732,"West Chester U Pennsylvania",PA,14417,14908,-3.3
733,"Marymount Manhattan College",NY,14336,15140,-5.3
734,"California State University San Bernardino",CA,14190,12651,12.2
735,"Southern Illinois University at Edwardsville",IL,13953,15276,-8.7
736,"Neumann College",PA,13633,14935,-8.7
737,"SUNY Cortland",NY,13565,13650,-0.6
738,"Plattsburgh College",NY,13456,13031,3.3
739,"Notre Dame de Namur",CA,12696,16269,-22.0
740,"Saint Mary-of-the-Woods College",IN,12665,13396,-5.5
741,"Vermont Law School",VT,12578,12829,-2.0
742,"Fayetteville State",NC,12497,11350,10.1
743,"Delta College",MI,12328,12601,-2.2
744,"Worcester State College",MA,12191,12387,-1.6
745,"Saint Xavier",IL,11926,12064,-1.1
746,"Shawnee State",OH,11854,13138,-9.8
747,"Grand View College",IA,11660,11866,-1.7
748,"California State University Stanislaus",CA,11084,11000,0.8
749,"Mount Ida College",MA,10762,10578,1.7
750,"Edinboro U Pennsylvania",PA,10454,10767,-2.9
751,"Trinity University (Washington DC)",DC,10263,10776,-4.8
752,"The College of New Jersey",NJ,10220,9145,11.8
753,"Paine College",GA,9532,10129,-5.9
754,"Lord Fairfax Community College",VA,9365,8821,6.2
755,"Holy Family",PA,9350,8605,8.7
756,"California State University",CA,9210,9744,-5.5
757,"California State University Hayward",CA,9179,9762,-6.0
758,"Hesston College",KS,8918,9898,-9.9
759,"Trinity Western",BC,8762,7613,15.1
760,"SUNY Oswego",NY,8753,8667,1.0
761,"Holy Names",CA,8749,7270,20.3
762,"Briar Cliff",IA,8737,8995,-2.9
763,"Ramapo College",NJ,8549,7252,17.9
764,"Saint Martin's College",WA,8307,NA,NA
765,"Boston Architectural College",MA,8175,8603,-5.0
766,"Franklin Pierce",NH,8030,10889,-26.3
767,"SUNY All Other Campuses",NY,7992,8540,-6.4
768,"Chaminade",HI,7659,8033,-4.7
769,"Longy School of Music",MA,7536,8361,-9.9
770,"California State University Channel Islands",CA,7253,7722,-6.1
771,"Thomas College",ME,7040,7443,-5.4
772,"California State University Monterey Bay",CA,7014,4801,46.1
773,"California State University Dominguez Hill",CA,6567,6730,-2.4
774,"Virginia Institute of Marine Science",VA,6386,3068,108.1
775,"Cornerstone",MI,6202,6454,-3.9
776,"Denver Seminary",CO,6137,6417,-4.4
777,"Centralia College",WA,5804,5928,-2.1
778,"Midlands Technical College",SC,5628,6026,-6.6
779,"Caldwell College",NJ,5551,6004,-7.5
780,"Keuka College",NY,5494,5736,-4.2
781,"Harford Community College",MD,4901,5310,-7.7
782,"Pellissippi State Technical Community College",TN,4870,4816,1.1
783,"SUNY Brockport",NY,4674,4890,-4.4
784,"Tidewater Comm. College Educational",VA,3674,3696,-0.6
785,"Massachusetts Bay Community College",MA,2863,3027,-5.4
786,"Laredo Community College",TX,2051,1956,4.9
787,"Northeast State Technical Community College",TN,1939,1850,4.8
788,"California Maritime Academy",CA,1844,1837,0.4
789,"Lakeland Community College",OH,1724,1747,-1.3
790,"William Jessup",CA,1114,932,19.5
791,"Georgia Perimeter College",GA,596,571,4.4
