Rank,"Institution",State,2008 Endowment,2007 Endowment,Percent Change
134,"North Carolina State",NC,544551,535003,1.8
135,"DePauw",IN,539851,554051,-2.6
136,"SUNY Buffalo",NY,535578,566362,-5.4
137,"Claremont McKenna College",CA,527854,474022,11.4
138,"Virginia Tech",VA,527629,524731,0.6
139,"Haverford College",PA,521308,539589,-3.4
140,"U Arizona",AZ,518709,532351,-2.6
141,"Davidson College",NC,500573,489461,2.3
142,"Howard",DC,497680,523690,-5.0
143,"The American University In Cairo",NY,494196,521564,-5.2
144,"Arizona State",AZ,493015,478385,3.1
145,"Colorado College",CO,492411,523228,-5.9
146,"Medical College of Wisconsin",WI,474956,507065,-6.3
147,"Mississippi",MS,472373,494774,-4.5
148,"Oregon",OR,470515,455583,3.3
149,"Franklin W. Olin College",MA,469570,482662,-2.7
150,"UC San Francisco",CA,468463,470568,-0.4
151,"Oregon Health Sciences",OR,453541,448489,1.1
152,"Fordham",NY,437176,455374,-4.0
153,"West Virginia University",WV,429737,436931,-1.6
154,"Oregon State University",OR,428382,441230,-2.9
155,"Reed College",OR,427323,455705,-6.2
156,"U South Carolina",SC,425150,438514,-3.0
157,"Auburn",AL,423412,420840,0.6
158,"Clemson",SC,421299,430020,-2.0
159,"Trinity College (CT)",CT,413611,440195,-6.0
160,"Miami University (OH)",OH,404674,409271,-1.1
161,"American",DC,393794,396844,-0.8
162,"Union College (NY)",NY,391260,369921,5.8
163,"U Dayton",OH,391101,410355,-4.7
164,"Whitman College",WA,387566,391366,-1.0
165,"Worcester Polytechnic Institute",MA,384754,404745,-4.9
166,"U Massachusetts",MA,381396,350216,8.9
167,"Creighton",NE,379207,408311,-7.1
168,"Rhode Island School of Design",RI,374651,380033,-1.4
169,"Loyola Marymount",CA,373212,371395,0.5
170,"Loyola U Chicago",IL,372526,373211,-0.2
171,"Wabash College",IN,367656,413212,-11.0
172,"St. John's University (NY)",NY,363802,366660,-0.8
173,"Rollins College",FL,360365,366594,-1.7
174,"U South Florida",FL,360035,388516,-7.3
175,"Occidental College",CA,359954,378040,-4.8
176,"Marquette",WI,357300,360250,-0.8
177,"Villanova",PA,355255,335734,5.8
178,"UC San Diego",CA,353074,356509,-1.0
179,"College of the Ozarks",MO,352924,366239,-3.6
180,"Spelman College",GA,351706,340261,3.4
181,"U St. Thomas (MN)",MN,350965,359350,-2.3
182,"Kansas State University",KS,346398,346360,0.0
183,"National",CA,346161,341231,1.4
184,"VMI",VA,343516,394848,-13.0
185,"U New Mexico",NM,342648,336926,1.7
186,"Franklin and Marshall College",PA,335449,362871,-7.6
187,"U Wisconsin",WI,330790,351914,-6.0
188,"Virginia Commonwealth",VA,330482,329199,0.4
189,"U Connecticut",CT,328132,337945,-2.9
190,"St. Olaf College",MN,325020,321063,1.2
191,"Wheaton College (IL)",IL,321930,362830,-11.3
192,"Georgia Institute of Technology",GA,320151,327520,-2.2
193,"De Paul",IL,314743,344727,-8.7
194,"U the South",TN,313206,314885,-0.5
195,"Ohio",OH,311880,242812,28.4
196,"Dickinson College",PA,307760,287731,7.0
197,"Agnes Scott College",GA,307427,328684,-6.5
198,"U New Hampshire",NH,307054,284630,7.9
199,"Lebanese American",NY,306634,298746,2.6
200,"Loyola U New Orleans",LA,306558,357558,-14.3
201,"Samford",AL,306382,301044,1.8
202,"Academy of the New Church",PA,302815,364358,-16.9
203,"U Denver",CO,300414,277465,8.3
204,"U Wyoming",WY,298527,304170,-1.9
205,"Skidmore College",NY,296330,287319,3.1
206,"U South Alabama (USA)",AL,290948,318769,-8.7
207,"Abilene Christian",TX,284269,279735,1.6
208,"Clark",MA,282038,290020,-2.8
209,"Rhodes College",TN,281512,288906,-2.6
210,"Mississippi State",MS,280711,280350,0.1
211,"U Alaska",AK,277849,310802,-10.6
212,"Regent",VA,273890,277633,-1.3
213,"College of Wooster",OH,272693,273343,-0.2
214,"Scripps College",CA,270866,274415,-1.3
215,"U San Diego",CA,268155,256472,4.6
216,"Willamette",OR,267261,268448,-0.4
217,"Bates College",ME,267232,275557,-3.0
218,"Fairfield",CT,262934,268758,-2.2
219,"Illinois Institute of Technology",IL,258487,223332,15.7
220,"Gettysburg College",PA,258118,270319,-4.5
221,"UC Irvine",CA,250557,234024,7.1
222,"Harvey Mudd College",CA,249256,260809,-4.4
223,"St. Lawrence",NY,244832,269194,-9.0
224,"U Puget Sound",WA,244480,259302,-5.7
225,"Wayne State",MI,242275,236659,2.4
226,"Drew",NJ,237480,268348,-11.5
227,"U Nevada Reno",NV,237198,240328,-1.3
228,"Temple",PA,237012,236712,0.1
229,"Hampton",VA,235872,256990,-8.2
230,"Ithaca College",NY,235283,233802,0.6
231,"Loma Linda",CA,234603,245301,-4.4
232,"Lewis and Clark College",OR,231217,224491,3.0
233,"Quinnipiac",CT,228456,223020,2.4
234,"Bradley",IL,226992,241135,-5.9
235,"Bentley College",MA,224944,249599,-9.9
236,"Hofstra",NY,222731,226304,-1.6
237,"Berklee College of Music",MA,219785,220548,-0.3
238,"Lawrence University (WI)",WI,216466,231740,-6.6
239,"Babson College",MA,216377,220062,-1.7
240,"Seattle",WA,216101,214771,0.6
241,"Barnard College",NY,215744,207301,4.1
242,"U San Francisco",CA,215584,216171,-0.3
243,"Connecticut College",CT,215536,225045,-4.2
244,"The New School",NY,213986,232239,-7.9
245,"Teachers College Columbia",NY,213713,219670,-2.7
246,"U Memphis",TN,213503,223756,-4.6
247,"University at Buffalo",NY,213321,219538,-2.8
248,"Mills College",CA,210556,233739,-9.9
249,"The Citadel",SC,205829,216214,-4.8
250,"Seton Hall",NJ,203254,230105,-11.7
251,"Chapman",CA,202059,205260,-1.6
252,"Goucher College",MD,200137,203895,-1.8
253,"Valparaiso",IN,199045,192973,3.1
254,"Wichita State",KS,196393,189337,3.7
255,"Rose-Hulman Institute of Technology",IN,193727,198995,-2.6
256,"Mercer",GA,191396,201688,-5.1
257,"Centre College of Kentucky",KY,191326,205850,-7.1
258,"Lesley College",MA,190327,94837,100.7
259,"Ball State University",IN,189652,198062,-4.2
260,"Kenyon College",OH,188696,192934,-2.2
261,"Western Michigan University",MI,187997,197742,-4.9
262,"Claremont Graduate",CA,187694,203457,-7.7
263,"Wheaton College (MA)",MA,186753,191284,-2.4
264,"U North Carolina at Greensboro",NC,184017,183751,0.1
265,"Colorado State University",CO,183442,186464,-1.6
266,"Miami Dade College",FL,183130,201195,-9.0
267,"Illinois Wesleyan",IL,182476,190471,-4.2
268,"Florida Atlantic University",FL,182306,190212,-4.2
269,"Simmons College",MA,182186,193556,-5.9
270,"Albion College",MI,180737,193099,-6.4
271,"U Akron",OH,178278,192755,-7.5
272,"Old Dominion",VA,177885,177844,0.0
273,"Hendrix College",AR,177273,192182,-7.8
274,"John Carroll",OH,177145,179534,-1.3
275,"Curtis Institute of Music",PA,176431,182248,-3.2
276,"U Idaho",ID,176145,188675,-6.6
277,"U Toledo",OH,175578,183920,-4.5
278,"Hobart and William Smith Colleges",NY,174825,174319,0.3
279,"Ohio Northern",OH,174623,181041,-3.5
280,"New Mexico State",NM,173395,175683,-1.3
281,"Columbia Theological Seminary",GA,170071,183546,-7.3
282,"Clarkson",NY,169894,177962,-4.5
283,"Loyola College (MD)",MD,169362,181530,-6.7
284,"Bryant",RI,168494,174992,-3.7
285,"California Polytechnic State",CA,166179,181723,-8.6
286,"Colorado School of Mines",CO,164999,175022,-5.7
287,"Youngstown State",OH,164859,172960,-4.7
288,"U Guelph",ON,163173,162603,0.4
289,"Wofford College",SC,162511,168090,-3.3
290,"Duquesne",PA,161299,174670,-7.7
291,"Medical U South Carolina",SC,160917,150311,7.1
292,"U Maine",ME,159033,163474,-2.7
293,"Allegheny College",PA,157007,158414,-0.9
294,"UC Davis",CA,157005,140667,11.6
295,"Kalamazoo College",MI,156927,172198,-8.9
296,"Hope College",MI,156185,168795,-7.5
297,"Randolph College",VA,155775,155601,0.1
298,"Providence College",RI,154244,158385,-2.6
299,"Rowan University",NJ,153898,168020,-8.4
300,"Butler",IN,152886,162671,-6.0
301,"Saint Joseph's",PA,152024,142508,6.7
302,"Hanover College",IN,150244,168715,-10.9
303,"Stonehill College",MA,149675,162191,-7.7
304,"Saint Mary's College of California",CA,148147,162526,-8.8
305,"U North Carolina at Charlotte",NC,147753,147174,0.4
306,"Asbury Theological Seminary",KY,147140,153699,-4.3
307,"St. Mary's University (TX)",TX,147054,154340,-4.7
308,"U the Sciences in Philadelphia",PA,145652,149174,-2.4
309,"Utah State",UT,145599,130544,11.5
310,"St. John's University (MN)",MN,145233,139700,4.0
311,"Drake",IA,141175,152148,-7.2
312,"Austin College",TX,140823,144743,-2.7
313,"Muhlenberg College",PA,138267,135425,2.1
314,"Inter American U Puerto Rico",PR,136897,149121,-8.2
315,"Washburn",KS,136597,150209,-9.1
316,"Hampden-Sydney College",VA,134924,142375,-5.2
317,"Bowling Green State",OH,134515,140766,-4.4
318,"Siena College",NY,134375,139910,-4.0
319,"Saint Mary's College (IN)",IN,133171,132102,0.8
320,"Lycoming College",PA,132742,135068,-1.7
321,"Beloit College",WI,131877,117708,12.0
322,"Baldwin-Wallace College",OH,130276,142634,-8.7
323,"Buena Vista",IA,129207,155564,-16.9
324,"Medical College of Georgia",GA,128396,133971,-4.2
325,"Stetson",FL,125079,137556,-9.1
326,"Xavier University (OH)",OH,124523,124915,-0.3
327,"Messiah College",PA,123986,127735,-2.9
328,"U Redlands",CA,122971,125950,-2.4
329,"Randolph-Macon College",VA,122955,131825,-6.7
330,"Transylvania",KY,121442,144446,-15.9
331,"Illinois College",IL,121012,135616,-10.8
332,"Austin Presbyterian Theological Seminary",TX,120823,129123,-6.4
333,"Mount Union College",OH,120489,131569,-8.4
334,"Hollins",VA,120269,126965,-5.3
335,"U Montana",MT,119955,123528,-2.9
336,"Wittenberg",OH,119011,121320,-1.9
337,"U South Dakota",SD,119000,118829,0.1
338,"Pace",NY,118836,121931,-2.5
339,"Centenary College of Louisiana",LA,118619,126249,-6.0
340,"Susquehanna",PA,117348,126551,-7.3
341,"Christian Theological Seminary",IN,115325,118652,-2.8
342,"Luther College",IA,115273,113807,1.3
343,"San Diego State",CA,115090,99853,15.3
344,"U Central Florida",FL,114990,116291,-1.1
345,"Philadelphia College of Osteopathic Medicine",PA,114953,119781,-4.0
346,"SUNY Stony Brook",NY,113204,104574,8.3
347,"U Scranton",PA,112165,120073,-6.6
348,"Hardin-Simmons",TX,112156,106379,5.4
349,"Augustana College (IL)",IL,110991,118485,-6.3
350,"U Tennessee at Chattanooga",TN,109786,122259,-10.2
351,"Alfred",NY,109090,114349,-4.6
352,"Gustavus Adolphus College",MN,108977,114042,-4.4
353,"Montana State University",MT,107368,110358,-2.7
354,"Goshen College",IN,106264,121076,-12.2
355,"Suffolk",MA,105825,102198,3.5
356,"California State University Fresno",CA,104645,112901,-7.3
357,"Western Kentucky",KY,104579,102155,2.4
358,"U Georgia and Arch",GA,104562,86478,20.9
359,"Ursinus College",PA,104348,116005,-10.0
360,"Roger Williams",RI,103608,114565,-9.6
361,"Columbia College Chicago",IL,103442,112326,-7.9
362,"California Institute of the Arts",CA,103197,108932,-5.3
363,"Adelphi",NY,102939,106507,-3.4
364,"McCormick Theological Seminary",IL,102921,111556,-7.7
365,"The Fuller",CA,102354,96228,6.4
366,"U Hartford",CT,101481,109295,-7.1
367,"Calvin College",MI,101387,97596,3.9
368,"Alma College",MI,100995,112881,-10.5
369,"Birmingham-Southern College",AL,100563,113090,-11.1
370,"Pitzer College",CA,100131,106364,-5.9
371,"New England Conservatory of Music",MA,99888,84198,18.6
372,"Harding",AR,99304,99224,0.1
373,"Georgia State University",GA,98634,97648,1.0
374,"Washington and Jefferson College",PA,98631,101567,-2.9
375,"Elmhurst College",IL,97945,95729,2.3
376,"Florida International",FL,97064,91876,5.6
377,"Cottey College",MO,95497,97426,-2.0
378,"Sweet Briar College",VA,95439,103136,-7.5
379,"U North Florida",FL,95209,88785,7.2
380,"East Carolina",NC,95041,90425,5.1
381,"U Portland",OR,94511,96315,-1.9
382,"Texas State University-San Marcos",TX,93314,82539,13.1
383,"Westminster College (PA)",PA,93232,100298,-7.0
384,"St. Louis College of Pharmacy",MO,93170,94168,-1.1
385,"Albertson College of Idaho",ID,93107,52738,76.5
386,"Moravian College",PA,92921,93920,-1.1
387,"Whitworth College",WA,92849,86801,7.0
388,"Wentworth Institute of Technology",MA,91071,91135,-0.1
389,"U South Alabama",AL,90905,68829,32.1
390,"Angelo State",TX,90386,85566,5.6
391,"U North Texas",TX,89967,89498,0.5
392,"Millsaps College",MS,89169,98676,-9.6
393,"Franklin College of Indiana",IN,89030,89581,-0.6
394,"Millikin",IL,88739,91838,-3.4
395,"Presbyterian College",SC,88254,99487,-11.3
396,"U Rhode Isl",RI,88028,95069,-7.4
397,"Saint Anselm College",NH,86907,91737,-5.3
398,"Long Island",NY,86819,91049,-4.6
399,"Doane College",NE,85941,92712,-7.3
400,"East Tennessee State University",TN,85908,87860,-2.2
401,"U the Ozarks",AR,85476,95113,-10.1
402,"The Marshall University",WV,85065,88623,-4.0
403,"Emmanuel College",MA,84427,80133,5.4
404,"Garrett-Evangelical Theological Seminary",IL,84167,91057,-7.6
405,"Pratt Institute",NY,83865,87901,-4.6
406,"U Evansville",IN,83160,84789,-1.9
407,"Widener",PA,81933,85790,-4.5
408,"Central College",IA,81914,82138,-0.3
409,"UC Riverside",CA,81552,80405,1.4
410,"Lynchburg College",VA,81295,84521,-3.8
411,"McDaniel College",MD,80926,89697,-9.8
412,"Wright State University",OH,80265,89075,-9.9
413,"U Northern Colorado",CO,80169,82964,-3.4
414,"Elon",NC,79895,78526,1.7
415,"Michigan Technological",MI,79390,78991,0.5
416,"Southern Illinois University",IL,79151,85426,-7.3
417,"Simpson College (IA)",IA,79077,79912,-1.0
418,"Coe College",IA,78785,78571,0.3
419,"North Central College",IL,78598,78813,-0.3
420,"Meharry Medical College",TN,77955,78421,-0.6
421,"Sarah Lawrence College",NY,77939,72209,7.9
422,"Whittier College",CA,77857,79966,-2.6
423,"Canisius College",NY,77715,81830,-5.0
424,"Illinois State University",IL,77575,78966,-1.8
425,"Ouachita Baptist",AR,77384,77316,0.1
426,"Concordia College",MN,77033,80862,-4.7
427,"Central Michigan",MI,77009,82304,-6.4
428,"Westmont College",CA,76978,79541,-3.2
429,"Lake Forest College",IL,76801,73272,4.8
430,"Sacred Heart",CT,76055,69472,9.5
431,"Taylor",IN,75478,76810,-1.7
432,"Hamline",MN,74623,82924,-10.0
433,"Lipscomb",TN,74276,81030,-8.3
434,"Guilford College",NC,73658,75491,-2.4
435,"Saint Michael's College",VT,73125,77168,-5.2
436,"Hiram College",OH,72618,77750,-6.6
437,"Boise State University",ID,72259,74008,-2.4
438,"St. Francis College",NY,71515,78296,-8.7
439,"Knox College",IL,71423,79473,-10.1
440,"Converse College",SC,71405,64648,10.5
441,"Niagara",NY,70917,75249,-5.8
442,"U Indianapolis",IN,70895,77212,-8.2
443,"Pacific Lutheran",WA,70674,69197,2.1
444,"New Jersey Institute of Technology",NJ,70638,70644,0.0
445,"Juniata College",PA,70533,71127,-0.8
446,"Oregon University",OR,70394,82653,-14.8
447,"U Dubuque",IA,70374,72818,-3.4
448,"Linfield College",OR,70178,73142,-4.1
449,"Northwood",MI,69686,74775,-6.8
450,"Assumption College",MA,69591,68857,1.1
451,"Monmouth College (IL)",IL,69531,73704,-5.7
452,"Belmont",TN,69520,61962,12.2
453,"Texas Lutheran",TX,68283,69022,-1.1
454,"Emporia State University",KS,68250,69912,-2.4
455,"St. Norbert College",WI,67844,71060,-4.5
456,"Cornell College",IA,67171,70342,-4.5
457,"Marietta College",OH,67154,71291,-5.8
458,"SUNY Binghamton",NY,67060,68971,-2.8
459,"Florida Southern College",FL,67056,70332,-4.7
460,"Valencia Community College",FL,66873,68004,-1.7
461,"Oklahoma Christian",OK,66251,67592,-2.0
462,"Roosevelt",IL,66125,70871,-6.7
463,"Franklin",OH,65850,63041,4.5
464,"College of Charleston",SC,65641,62912,4.3
465,"St. Vincent College",PA,65325,58256,12.1
466,"Queens U Charlotte",NC,65258,65272,0.0
467,"La Salle",PA,65169,65669,-0.8
468,"John Brown",AR,64995,66457,-2.2
469,"U the Incarnate Word",TX,64820,55065,17.7
470,"Muskingum College",OH,64307,63967,0.5
471,"Wilson College",PA,64145,66004,-2.8
472,"LaGrange College",GA,63725,67482,-5.6
473,"Hartwick College",NY,63672,66873,-4.8
474,"Lamar",TX,63157,33526,88.4
475,"Westminster College of Salt Lake City",UT,62926,63508,-0.9
476,"Grand Valley State",MI,62895,61745,1.9
477,"Northern Arizona University",AZ,62347,58605,6.4
478,"Embry-Riddle Aeronautical",FL,62346,60025,3.9
479,"Palm Beach Atlantic",FL,62269,60595,2.8
480,"Appalachian State",NC,61954,62245,-0.5
481,"Lenoir-Rhyne College",NC,61925,58887,5.2
482,"McMurry",TX,61412,62859,-2.3
483,"U West Florida",FL,61353,64239,-4.5
484,"Kettering",MI,61030,64998,-6.1
485,"U St. Thomas (TX)",TX,60900,56715,7.4
486,"King's College (PA)",PA,60794,60743,0.1
487,"U the Cumberlands",KY,60727,61759,-1.7
488,"New York Medical College",NY,60606,64491,-6.0
489,"Capital",OH,60359,63382,-4.8
490,"Morehouse School of Medicine",GA,60352,56385,7.0
491,"Nazareth College of Rochester",NY,60198,61409,-2.0
492,"Jacksonville",FL,60068,60865,-1.3
493,"Hood College",MD,59633,59420,0.4
494,"Chatham College",PA,59231,64085,-7.6
495,"Bridgewater College",VA,58238,61536,-5.4
496,"Middle Tennessee State",TN,57866,34673,66.9
497,"St. Edward's",TX,57219,63007,-9.2
498,"Webb Institute",NY,57034,59944,-4.9
499,"Rider",NJ,56826,61600,-7.8
500,"Wesleyan College",GA,56623,50902,11.2
501,"East Texas Baptist",TX,56092,54729,2.5
502,"Ripon College",WI,55539,59421,-6.5
503,"California State University Northridge",CA,55379,60227,-8.0
504,"Biola",CA,55317,53957,2.5
505,"Tennessee Technological",TN,55132,58812,-6.3
506,"Pittsburg State",KS,55106,59216,-6.9
507,"Eastern Kentucky University",KY,55092,55455,-0.7
508,"U North Carolina at Wilmington",NC,55083,50794,8.4
509,"Monmouth",NJ,54240,49209,10.2
510,"Missouri State University",MO,54101,55803,-3.1
511,"California Lutheran",CA,53972,56727,-4.9
512,"George Mason",VA,53327,54562,-2.3
513,"Indiana Wesleyan",IN,53315,46639,14.3
514,"Marine Biological Laboratory",MA,53273,55798,-4.5
515,"SUNY Health Science Center at Syracuse",NY,52439,53369,-1.7
516,"Elizabethtown College",PA,51711,52200,-0.9
517,"Albright College",PA,51578,45693,12.9
518,"SUNY HSC at Brooklyn College of Medicine",NY,51520,55286,-6.8
519,"Erskine College",SC,51278,51504,-0.4
520,"Westminster College (MO)",MO,51077,54215,-5.8
521,"Seattle Pacific",WA,50954,47407,7.5
522,"Murray State",KY,50716,51349,-1.2
523,"McNeese State",LA,50594,50086,1.0
524,"Oakland",MI,50509,41721,21.1
525,"Northern Kentucky University",KY,50445,52477,-3.9
526,"San Jose State University and Tower",CA,50108,50020,0.2
527,"Fort Hays State University",KS,49949,52378,-4.6
528,"Indiana State University3",IN,49933,57557,-13.2
529,"U Dallas",TX,49786,48734,2.2
530,"Wheelock College",MA,49726,53483,-7.0
531,"Winthrop",SC,49719,49981,-0.5
532,"Saint Paul School of Theology",MO,49450,46100,7.3
533,"Arcadia",PA,49157,51637,-4.8
534,"Shenandoah",VA,48631,49201,-1.2
535,"Wagner College",NY,48312,48032,0.6
536,"Peace College",NC,48174,52269,-7.8
537,"Manhattan College",NY,48172,48497,-0.7
538,"Bethany Lutheran College",MN,47892,52079,-8.0
539,"Howard Payne",TX,47785,50157,-4.7
540,"Springfield College",MA,47591,52997,-10.2
541,"Eastern Illinois",IL,47421,44318,7.0
542,"James Madison University",VA,47371,50726,-6.6
543,"San Francisco State University",CA,47179,41202,14.5
544,"Lebanon Valley College",PA,46896,47589,-1.5
545,"U Arkansas at Fort Smith",AR,46008,42135,9.2
546,"Ana G. Mendez University",PR,46000,47874,-3.9
547,"Western New England College",MA,45849,48692,-5.8
548,"New York Chiropractic College",NY,45648,47987,-4.9
549,"Eastern Michigan University",MI,45247,48988,-7.6
550,"Purchase College State U New York",NY,44611,45968,-3.0
551,"Indiana U Pennsylvania and Affiliates",PA,44348,44216,0.3
552,"St. Bonaventure",NY,44223,46429,-4.8
553,"Mount St. Mary College",NY,44126,43903,0.5
554,"Friends",KS,44113,44912,-1.8
555,"Le Moyne College",NY,44106,49132,-10.2
556,"Bethany College (WV)",WV,43831,45180,-3.0
557,"High Point",NC,43590,47114,-7.5
558,"Wilkes",PA,43545,44550,-2.3
559,"Lewis",IL,43520,46300,-6.0
560,"DeSales",PA,43470,46276,-6.1
561,"Carthage College",WI,43449,48910,-11.2
562,"Nebraska Wesleyan",NE,42974,46857,-8.3
563,"Mount Saint Mary's College",MD,42841,43385,-1.3
564,"Columbia College of Missouri",MO,42660,32237,32.3
565,"Florida Institute of Technology",FL,42289,42916,-1.5
566,"Cleveland State",OH,41770,43831,-4.7
567,"Houghton College",NY,41728,40278,3.6
568,"Ferrum College",VA,41472,45495,-8.8
569,"Saginaw Valley State University",MI,41422,39821,4.0
570,"Salve Regina",RI,41042,41120,-0.2
571,"Arkansas State",AR,40827,43562,-6.3
572,"Aurora",IL,40771,32974,23.6
573,"Longwood University",VA,40392,43129,-6.3
