10,three
10,thoroughly
10,tears
10,stopped
10,stand
10,slipped
10,sleep
10,sir
10,show
10,sense
10,row
10,return
10,possible
10,plain
10,opened
10,nature
10,naturally
10,music
10,mouth
10,minutes
10,man
10,longer
10,living
10,least
10,learn
10,later
10,land
10,horizon
10,holes
10,happened
10,handsome
10,grass
10,gathered
10,fields
10,feeling
10,father
10,excellent
10,doesn
10,distant
10,despair
10,comfortable
10,closed
10,clean
10,cheerfully
10,carefully
10,canal
10,broke
10,banquet
10,able
9,years
9,woman
9,week
9,weasel
9,watching
9,walking
9,unhappy
9,top
9,toady
9,supposing
9,street
9,straw
9,strange
9,stories
9,steadily
9,stay
9,standing
9,spread
9,spirit
9,speed
9,south
9,sounds
9,songs
9,solid
9,showed
9,shabby
9,several
9,seriously
9,seems
9,proud
9,portly
9,pleased
9,pistols
9,picked
9,particular
9,nervous
9,misery
9,merely
9,marched
9,lying
9,luck
9,leg
9,leaving
9,known
9,kitchen
9,instead
9,helped
9,heartily
9,hands
9,gentlemen
9,forget
9,firmly
9,filled
9,faint
9,fact
9,entirely
9,ducks
9,daughter
9,darkness
9,contentment
9,common
9,changed
9,change
9,chance
9,case
9,brown
9,brought
9,bring
9,boats
9,big
9,believe
9,arms
9,arm-chair
9,among
9,alone
9,afternoon
9,added
8,working
8,words
8,whose
8,walk
8,village
8,true
8,toast
8,terror
8,terrible
8,teach
8,sticks
8,spirits
8,society
8,slow
8,six
8,situation
8,singing
8,shut
8,season
8,sculls
8,rush
8,rising
8,remember
8,reason
8,quickly
8,pulled
8,pride
8,policemen
8,pocket
8,played
8,play
8,placed
8,patiently
8,parts
8,painted
8,ordered
8,noticed
8,noise
8,nodded
8,news
8,nearly
8,move
8,moon
8,men
8,managed
8,luncheon-basket
8,listening
8,less
8,leaves
8,laughter
8,jump
8,instant
8,inquired
8,hurried
8,horrid
8,heads
8,hauled
8,ground
8,gold
8,giving
8,gaoler
8,friendly
8,forgotten
8,fit
8,fall
8,excited
8,during
8,dropped
8,doors
8,direction
8,dinner
8,different
8,dead
8,dare
8,cry
8,cotton
8,complete
8,clothes
8,cleverness
8,chief
8,cheerful
8,certainly
8,certain
8,busily
8,breath
8,body
8,birds
8,beyond
8,besides
8,below
8,beginning
8,begin
8,bedroom
8,attention
8,attend
8,approaching
8,anyhow
8,accordingly
7,yellow
7,worth
7,worst
7,weeks
7,ways
7,wasn
7,wall
7,use
7,tree
7,to-night
7,thrown
7,temper
7,sunshine
7,stretch
7,stout
7,stern
7,step
7,station
7,started
7,staring
7,spring
7,splendid
7,speech
7,space
7,sooner
7,sobs
7,smile
7,slept
7,sleepy
7,sigh
7,shouting
7,shouted
7,shout
7,shore
7,shillings
7,shan
7,shaking
7,severely
7,send
7,restless
7,remarks
7,reeds
7,rabbits
7,properly
7,proceeded
7,poop-poop
7,pockets
7,plate
7,perfect
7,pay
7,partly
7,paper
7,overhead
7,ourselves
7,order
7,nights
7,murmur
7,motor-cars
7,missing
7,looks
7,lived
7,listened
7,level
7,leaning
7,leading
7,landed
7,laid
7,kicked
7,jumping
7,invitations
7,interest
7,hullo
7,hours
7,hope
7,hollow
7,hedge
7,greatly
7,gravely
7,grave
7,golden
7,gets
7,following
7,flying
7,five
7,field-mouse
7,field
7,fetch
7,expression
7,excitement
7,escape
7,entered
7,efforts
7,effort
7,easily
7,dust
7,dull
7,driving
7,doubt
7,door-mat
7,ditch
7,crying
7,crowded
7,couldn
7,cool
7,city
7,cheer
7,character
7,chairs
7,catch
7,carried
7,broad
7,bonnet
7,board
7,beat
7,bear
7,basket
7,backwater
7,awful
7,aunt
7,asleep
7,arranged
7,anywhere
7,answer
7,ancient
6,wrong
6,welcome
6,weather
